epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,3162.49,0.66514,0.54116,0.86109,0.5137,0.52402,0.53605,0.38007,1.2835,2.06388,0.99368,3.41598e-05,3.41598e-05,3.41598e-05
83,3199,0.64359,0.51378,0.85469,0.53921,0.53148,0.54223,0.38133,1.34615,2.0167,1.00898,3.16503e-05,3.16503e-05,3.16503e-05
84,3235.49,0.65418,0.53313,0.8577,0.59206,0.51081,0.53843,0.37938,1.33752,2.26961,1.00679,2.9262e-05,2.9262e-05,2.9262e-05
85,3272.08,0.63382,0.51213,0.85404,0.57538,0.52156,0.54318,0.39193,1.24139,2.03244,0.98164,2.69974e-05,2.69974e-05,2.69974e-05
86,3308.54,0.63826,0.50687,0.85518,0.5399,0.52206,0.53732,0.38323,1.26457,2.06401,0.98585,2.48586e-05,2.48586e-05,2.48586e-05
87,3345.05,0.64005,0.52065,0.8546,0.53789,0.53074,0.5436,0.39031,1.23809,1.98364,0.98138,2.28477e-05,2.28477e-05,2.28477e-05
88,3381.48,0.64078,0.51672,0.8547,0.62626,0.5102,0.54243,0.39563,1.22502,2.03625,0.97561,2.09667e-05,2.09667e-05,2.09667e-05
89,3417.99,0.63257,0.51101,0.85305,0.54828,0.53925,0.54451,0.39743,1.20735,2.00654,0.97222,1.92175e-05,1.92175e-05,1.92175e-05
90,3454.4,0.64029,0.51422,0.8549,0.56584,0.52027,0.53977,0.39738,1.20982,2.08931,0.97337,1.76018e-05,1.76018e-05,1.76018e-05
91,3492.87,0.48854,0.34836,0.80673,0.56795,0.53016,0.54235,0.3949,1.23316,2.13909,0.98173,1.61213e-05,1.61213e-05,1.61213e-05
92,3529.17,0.47391,0.33682,0.80329,0.58146,0.51856,0.54262,0.39182,1.25403,2.13247,0.98774,1.47773e-05,1.47773e-05,1.47773e-05
93,3565.41,0.46963,0.32941,0.80383,0.5533,0.52314,0.53517,0.38723,1.24303,2.07261,0.98626,1.35712e-05,1.35712e-05,1.35712e-05
94,3601.46,0.47354,0.33418,0.80503,0.55557,0.51636,0.53525,0.38591,1.25187,2.13338,0.98734,1.25041e-05,1.25041e-05,1.25041e-05
95,3637.61,0.4705,0.32469,0.80398,0.55269,0.52675,0.54088,0.38658,1.27926,2.10828,0.99634,1.15772e-05,1.15772e-05,1.15772e-05
96,3673.71,0.46067,0.3187,0.80282,0.56886,0.52548,0.54218,0.38784,1.26942,2.05866,0.99463,1.07913e-05,1.07913e-05,1.07913e-05
97,3709.97,0.45239,0.31826,0.80171,0.57752,0.53077,0.54701,0.39563,1.23336,2.01468,0.98738,1.01473e-05,1.01473e-05,1.01473e-05
98,3746.11,0.44841,0.31202,0.80063,0.55299,0.51152,0.53717,0.38705,1.24825,2.17608,0.99,9.64573e-06,9.64573e-06,9.64573e-06
99,3782.26,0.44921,0.3097,0.79904,0.53111,0.51798,0.53527,0.38908,1.23923,2.10057,0.98613,9.28711e-06,9.28711e-06,9.28711e-06
100,3818.33,0.44589,0.31032,0.79801,0.55768,0.50685,0.53342,0.3888,1.22116,2.14615,0.97752,9.0718e-06,9.0718e-06,9.0718e-06
